="                              ",="mean",="sd",="skewness",="kurtosis",="min",="p5",="p25",="p50",="p75",="p95",="max"
="The Base Year 2014            ",="2014.00",="0.00",=".",=".",="2014.00",="2014.00",="2014.00",="2014.00",="2014.00",="2014.00",="2014.00"
="U.S. States Identifier        ",="25.50",="14.58",="0.00",="1.80",="1.00",="3.00",="13.00",="25.50",="38.00",="48.00",="50.00"
="Electric Car Sales            ",="2927.98",="4677.08",="4.02",="22.17",="110.00",="177.00",="526.00",="1396.50",="3101.00",="10482.00",="29471.00"
="Average Electric Car Prices Across 13 Models After Tax-Exemption and Incentives",="49985.29",="4774.70",="-0.41",="2.11",="38796.80",="41942.27",="47463.65",="49615.96",="55092.43",="55494.00",="55494.00"
="The Number of Public Electric Fueling Stations",="260.88",="464.12",="5.18",="32.95",="2.00",="11.00",="44.00",="158.00",="323.00",="698.00",="3186.00"
="Median Income(2014 Dollars)   ",="54962.54",="9109.32",="0.23",="2.61",="35521.00",="42278.00",="48060.00",="54613.00",="60708.00",="71223.00",="76165.00"
="Tax Exemption of the States( 1 if Exempt, otherwise 0)",="0.52",="0.50",="-0.08",="1.01",="0.00",="0.00",="0.00",="1.00",="1.00",="1.00",="1.00"
="Price of Electricity Converted to Per Gasoline Gallon Equivalent",="4.03",="1.38",="2.89",="14.84",="2.67",="2.74",="3.14",="3.69",="4.58",="6.05",="11.09"
="Price of Gasoline per Gallon  ",="2.23",="0.21",="1.07",="4.75",="1.92",="1.97",="2.11",="2.21",="2.35",="2.71",="2.88"
="Observations                  ",="50",="",="",="",="",="",="",="",="",="",=""
