"Table 1.  Correlation Table for the Factors that Influence the Demand of Electric Cars "
"",".","","","","",""
"","ecarsales","ecarprices","numstations","medianincome","price_electricity","price_gasoline"
"","b","b","b","b","b","b"
"ecarsales","1","","","","",""
"ecarprices","-.5908865","1","","","",""
"numstations",".9198781","-.4335321","1","","",""
"medianincome",".1322626","-.2425903",".1191517","1","",""
"price_electricity",".1089065","-.0960568",".1412608",".5119274","1",""
"price_gasoline",".331247","-.1076173",".3646165",".3555723",".4024977","1"
"N","50","","","","",""
"Note:  50 States in 2014 in the USA."
